"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Anthony Morrow",49.6,9,25,49.6,9
"made","Jordan Crawford",31.9,76.6,14,18.1,17.4
"made","Kris Humphries",25.9,6.6,2,25.9,6.6
"made","Andray Blatche",22.5,87.1,3,27.5,6.90000000000001
"made","Ronny Turiaf",25.1,86.8,2,24.9,7.2
"made","Kris Humphries",11.7,7.5,14,11.7,7.5
"made","John Wall",23.9,86.5,3,26.1,7.5
"made","Nick Young",36.9,77.2,17,13.1,16.8
"made","Nick Young",25.7,84.9,4,24.3,9.09999999999999
"made","Andray Blatche",39.3,73.9,21,10.7,20.1
"made","Nick Young",9.2,87.8,16,40.8,6.2
"made","MarShon Brooks",14.5,11.1,12,14.5,11.1
"made","Nick Young",25.9,87.3,2,24.1,6.7
"made","MarShon Brooks",24.8,14.9,10,24.8,14.9
"made","Deron Williams",35.5,28.5,26,35.5,28.5
"made","Deron Williams",23.8,8.3,4,23.8,8.3
"made","Sundiata Gaines",23.8,4.8,1,23.8,4.8
"made","Johan Petro",14.4,20.7,19,14.4,20.7
"made","Sundiata Gaines",28,7.3,4,28,7.3
"made","Andray Blatche",35.8,85.6,11,14.2,8.40000000000001
"made","Kris Humphries",26.3,6.2,2,26.3,6.2
"made","Johan Petro",22.7,20.3,15,22.7,20.3
"made","Jordan Crawford",15.2,70.9,21,34.8,23.1
"made","Johan Petro",19.4,12.2,9,19.4,12.2
"made","JaVale McGee",22.6,87.9,3,27.4,6.09999999999999
"made","Rashard Lewis",12,84.5,14,38,9.5
"made","Deron Williams",18.5,12.4,10,18.5,12.4
"made","JaVale McGee",22.7,85.9,4,27.3,8.09999999999999
"made","Deron Williams",14.8,14.7,14,14.8,14.7
"made","Rashard Lewis",21.3,86.2,5,28.7,7.8
"made","Kris Humphries",24.3,6.2,1,24.3,6.2
"made","Johan Petro",26.6,20.4,15,26.6,20.4
"made","Andray Blatche",30.9,86.2,7,19.1,7.8
"made","Deron Williams",30.2,31.6,27,30.2,31.6
"made","Kris Humphries",10.9,16.8,18,10.9,16.8
"made","Jordan Crawford",27.1,87.9,2,22.9,6.09999999999999
"made","Kris Humphries",23.3,6.1,2,23.3,6.1
"made","JaVale McGee",28.2,87.8,3,21.8,6.2
"made","Deron Williams",41.3,25.9,27,41.3,25.9
