"person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch","name","lower_name"
1507,"Anderson, Derek","Derek Anderson",FALSE,1997,2007,"derek_anderson",0,"","","","","Y","00","Derek Anderson","derek anderson"
965,"Fisher, Derek","Derek Fisher",FALSE,1996,2013,"derek_fisher",0,"","","","","Y","00","Derek Fisher","derek fisher"
1575,"Grimm, Derek","Derek Grimm",FALSE,1997,1997,"derek_grimm",0,"","","","","Y","00","Derek Grimm","derek grimm"
157,"Harper, Derek","Derek Harper",FALSE,1983,1998,"derek_harper",0,"","","","","Y","00","Derek Harper","derek harper"
1967,"Hood, Derek","Derek Hood",FALSE,1999,2002,"derek_hood",0,"","","","","Y","00","Derek Hood","derek hood"
400,"Strong, Derek","Derek Strong",FALSE,1991,2000,"derek_strong",0,"","","","","Y","00","Derek Strong","derek strong"
2035,"Johnson, DerMarr","DerMarr Johnson",FALSE,2000,2007,"dermarr_johnson",0,"","","","","Y","01","DerMarr Johnson","dermarr johnson"
101114,"Williams, Deron","Deron Williams",TRUE,2005,2016,"deron_williams",1610612742,"Dallas","Mavericks","DAL","mavericks","Y","00","Deron Williams","deron williams"
308,"Alston, Derrick","Derrick Alston",FALSE,1994,1996,"derrick_alston",0,"","","","","Y","00","Derrick Alston","derrick alston"
201974,"Brown, Derrick","Derrick Brown",FALSE,2009,2011,"derrick_brown",0,"","","","","Y","00","Derrick Brown","derrick brown"
201182,"Byars, Derrick","Derrick Byars",FALSE,2011,2011,"derrick_byars",0,"","","","","Y","01","Derrick Byars","derrick byars"
202382,"Caracter, Derrick","Derrick Caracter",FALSE,2010,2010,"derrick_caracter",0,"","","","","Y","11","Derrick Caracter","derrick caracter"
934,"Coleman, Derrick","Derrick Coleman",FALSE,1990,2004,"derrick_coleman",0,"","","","","Y","00","Derrick Coleman","derrick coleman"
1760,"Dial, Derrick","Derrick Dial",FALSE,1999,2003,"derrick_dial",0,"","","","","Y","01","Derrick Dial","derrick dial"
202324,"Favors, Derrick","Derrick Favors",TRUE,2010,2019,"derrick_favors",1610612762,"Utah","Jazz","UTA","jazz","Y","00","Derrick Favors","derrick favors"
1627884,"Jones Jr., Derrick","Derrick Jones Jr.",FALSE,2016,2019,"derrick_jones jr.",0,"","","","","Y","01","Derrick Jones Jr.","derrick jones jr."
365,"McKey, Derrick","Derrick McKey",FALSE,1987,2001,"derrick_mckey",0,"","","","","Y","00","Derrick McKey","derrick mckey"
201565,"Rose, Derrick","Derrick Rose",TRUE,2008,2019,"derrick_rose",1610612741,"Chicago","Bulls","CHI","bulls","Y","00","Derrick Rose","derrick rose"
1628476,"Walton Jr., Derrick","Derrick Walton Jr.",FALSE,2017,2019,"derrick_walton jr.",0,"","","","","Y","01","Derrick Walton Jr.","derrick walton jr."
1628401,"White, Derrick","Derrick White",FALSE,2017,2019,"derrick_white",0,"","","","","Y","01","Derrick White","derrick white"
202682,"Williams, Derrick","Derrick Williams",TRUE,2011,2017,"derrick_williams",1610612752,"New York","Knicks","NYK","knicks","Y","00","Derrick Williams","derrick williams"
2583,"Zimmerman, Derrick","Derrick Zimmerman",FALSE,2005,2005,"derrick_zimmerman",0,"","","","","Y","01","Derrick Zimmerman","derrick zimmerman"
2205,"Diop, DeSagana","DeSagana Diop",FALSE,2001,2012,"desagana_diop",0,"","","","","Y","00","DeSagana Diop","desagana diop"
2052,"Stevenson, DeShawn","DeShawn Stevenson",FALSE,2000,2012,"deshawn_stevenson",0,"","","","","Y","00","DeShawn Stevenson","deshawn stevenson"
2824,"Farmer, Desmon","Desmon Farmer",FALSE,2006,2008,"desmon_farmer",0,"","","","","Y","01","Desmon Farmer","desmon farmer"
2724,"Ferguson, Desmond","Desmond Ferguson",FALSE,2003,2003,"desmond_ferguson",0,"","","","","Y","00","Desmond Ferguson","desmond ferguson"
2046,"Mason, Desmond","Desmond Mason",FALSE,2000,2009,"desmond_mason",0,"","","","","Y","00","Desmond Mason","desmond mason"
2667,"Penigar, Desmond","Desmond Penigar",FALSE,2003,2003,"desmond_penigar",0,"","","","","Y","00","Desmond Penigar","desmond penigar"
